pattern,transport,payload_size_bytes,min_latency_ns,median_latency_ns,p99_latency_ns,max_latency_ns
PubSub,IPC,8,18944,1529855,1672191,1677311
PubSub,IPC,64,1881088,2367487,2729983,2736127
PubSub,IPC,256,1814528,3704831,4476927,4489215
PubSub,IPC,1024,2670592,4173823,5021695,5025791
PubSub,IPC,4096,1745920,15998975,18268159,18530303
PubSub,TCP,8,1820672,1916927,2211839,2222079
PubSub,TCP,64,1293312,1809407,2142207,2156543
PubSub,TCP,256,2582528,3221503,4349951,4362239
PubSub,TCP,1024,2605056,6311935,9347071,9486335
PubSub,TCP,4096,2070528,11436031,16351231,16474111
Dealer,IPC,8,959488,1063935,1162239,1167359
Dealer,IPC,64,1120256,1548287,1941503,1948671
Dealer,IPC,256,2983936,3356671,3852287,3864575
Dealer,IPC,1024,2549760,5586943,7622655,7692287
Dealer,IPC,4096,1685504,12959743,13557759,13615103
Dealer,TCP,8,704000,937471,1134591,1137663
Dealer,TCP,64,1089536,2025471,2308095,2314239
Dealer,TCP,256,1830912,2820095,3581951,3594239
Dealer,TCP,1024,2609152,5668863,7479295,7483391
Dealer,TCP,4096,2488320,11255807,14131199,14245887
DealerRouter,IPC,8,4882432,16343039,30359551,30375935
DealerRouter,IPC,64,6578176,15826943,29540351,29556735
DealerRouter,IPC,256,6602752,16515071,29245439,29278207
DealerRouter,IPC,1024,6262784,18956287,26247167,26787839
DealerRouter,IPC,4096,1835008,27082751,40206335,40271871
DealerRouter,TCP,8,5464064,14729215,28606463,28606463
DealerRouter,TCP,64,2332672,16711679,29425663,29442047
DealerRouter,TCP,256,2426880,17514495,28540927,28540927
DealerRouter,TCP,1024,3192832,15196159,27312127,27361279
DealerRouter,TCP,4096,1925120,54263807,100204543,100466687
